            Australian Bureau of Statistics,,,,,,,,,,,,,,,,,
"3301.0 Births, Australia, 2015",,,,,,,,,,,,,,,,,
Released at 11:30 am (Canberra time) Tues 8 Nov 2016,,,,,,,,,,,,,,,,,
"Table 6.1 Births, Country of birth of mother–2015",,,,,,,,,,,,,,,,,
,,,Age-specific fertility rate,,,,,,,,,Father born in,,,Nuptiality,,
,Total births,Estimated resident female population,15–19 years,20–24 years,25–29 years,30–34 years,35–39 years,40–44 years,45–49 years,Total fertility rate,Total confinements,Australia,Same overseas country as mother,Other country,Nuptial,Exnuptial,Median age of mother
Country of birth of mother,no.,no.,rate,rate,rate,rate,rate,rate,rate,rate,no.,%,%,%,%,%,years
Total,"-305,377","5,689,294",13.1,49.0,95.7,118.9,69.2,14.9,1.0,1.81,"301,114",64.7,20.0,15.2,67.8,32.2,31.0
Total overseas-born,"104,900","1,780,669",8.4,41.8,92.2,118.0,73.9,17.4,1.3,1.76,"103,583",25.7,57.1,17.2,82.4,17.6,31.8
Oceania and Antarctica,"212,629","4,129,319",14.3,52.6,97.7,119.0,66.6,13.8,0.9,1.82,"209,488",83.0,2.5,14.4,59.5,40.5,30.5
Australia,"200,157","3,908,625",14.0,51.4,97.4,119.3,66.4,13.7,0.9,1.82,"197,214",85.8,,14.2,59.9,40.1,30.5
Fiji,"1,061","22,207",6.7,60.6,104.0,100.6,47.6,10.8,1.0,1.66,"1,052",18.8,61.3,20.0,84.5,15.5,31.8
New Zealand,"9,546","170,256",23.1,78.5,96.6,111.0,69.4,15.1,1.1,1.97,"9,379",43.4,40.4,16.2,48.2,51.8,30.4
Papua New Guinea,477,"11,035",13.0,61.9,98.8,121.0,74.3,15.2,1.0,1.93,472,58.8,21.2,20.0,61.8,38.2,32.8
Samoa,703,"8,432",29.5,108.7,204.0,157.2,101.5,38.9,2.0,3.21,694,9.7,63.2,27.1,66.6,33.4,31.2
Other,685,"8,764",40.8,124.4,160.6,148.9,92.0,26.2,1.4,2.97,677,20.2,45.9,33.9,56.8,43.2,30.6
North-West Europe,"13,053","277,690",4.1,23.9,60.5,132.6,92.0,19.0,1.2,1.67,"12,839",52.4,26.5,21.1,68.8,31.2,33.5
Austria,105,"1,955",0.0,28.7,45.2,131.4,83.1,20.7,0.8,1.55,104,68.0,1.9,28.2,71.8,28.2,33.6
Denmark,78,"2,166",3.1,17.5,97.5,125.2,80.2,22.8,0.0,1.73,77,64.9,1.3,29.9,72.7,27.3,32.7
Finland,100,"1,891",5.7,11.5,49.5,109.3,107.5,25.2,0.0,1.54,100,62.6,10.1,27.3,71.7,28.3,34.5
France,599,"11,999",0.7,5.8,31.6,121.8,91.1,23.9,0.9,1.38,587,41.9,31.7,26.4,62.1,37.9,33.1
Germany,"1,101","20,904",0.5,16.1,55.7,127.5,92.8,23.0,1.1,1.58,"1,082",58.2,13.6,28.3,68.8,31.2,33.9
Ireland,"1,412","22,161",4.8,25.3,40.6,114.6,108.7,23.0,1.5,1.59,"1,391",32.1,48.9,19.0,70.4,29.6,33.2
Netherlands,314,"7,535",5.2,14.7,51.9,138.3,87.3,17.0,1.2,1.58,311,49.0,28.6,22.4,66.9,33.1,34.2
Switzerland,132,"3,409",5.3,8.0,55.4,115.0,87.0,19.2,1.0,1.45,132,52.3,16.7,31.1,72.7,27.3,34.1
United Kingdom,"8,799","197,273",4.6,29.6,71.1,138.9,90.5,18.1,1.2,1.77,"8,648",54.8,25.6,19.6,69.0,31.0,33.5
Other,413,"8,397",0.8,8.3,56.0,132.7,87.4,22.7,0.3,1.54,407,64.3,10.6,25.1,66.3,33.7,33.4
Southern and Eastern Europe,"5,076","103,931",4.5,32.9,71.8,102.1,68.7,16.6,1.2,1.49,"4,997",42.1,30.5,27.4,80.5,19.5,32.9
Bosnia and Herzegovina,473,"8,946",3.3,53.4,103.7,103.3,54.1,9.3,1.2,1.64,463,31.9,41.7,26.4,84.3,15.7,30.6
Croatia,277,"7,389",2.5,20.7,87.6,92.6,47.9,11.4,1.2,1.32,272,39.4,27.9,32.7,78.4,21.6,31.3
Cyprus,40,"1,926",15.9,25.2,121.2,110.3,67.7,15.9,2.1,1.79,39,65.8,18.4,15.8,89.5,2.6,33.8
Czech Republic,207,"3,202",0.0,6.1,37.6,114.5,92.3,22.3,0.8,1.37,205,45.6,24.5,29.9,72.5,27.5,35.2
Estonia,69,"1,462",0.0,13.8,29.8,76.0,54.3,38.6,0.0,1.06,68,48.5,20.6,30.9,52.9,47.1,31.4
Former Yugoslav Republic of Macedonia (FYROM),349,"8,171",10.9,77.5,122.2,104.5,41.7,8.4,0.7,1.83,345,54.1,34.9,11.0,88.4,11.6,31.6
Greece,222,"5,718",5.1,22.8,71.2,108.8,69.1,19.7,1.3,1.49,218,55.1,24.8,20.1,84.2,15.8,33.2
Hungary,145,"2,886",12.8,19.5,59.6,94.8,76.8,12.1,2.1,1.39,143,38.0,35.2,26.8,78.2,21.8,35.3
Italy,333,"11,665",3.0,9.2,21.5,55.3,76.0,21.8,1.7,0.94,329,43.5,34.0,22.5,66.7,33.3,33.6
Latvia,43,682,0.0,0.0,66.7,97.6,76.9,20.6,0.0,1.31,41,50.0,17.5,32.5,70.0,30.0,32.4
Lithuania,37,767,0.0,12.5,38.7,79.4,70.9,7.9,0.0,1.05,37,31.4,20.0,48.6,74.3,25.7,32.9
Malta,53,"1,651",9.7,66.1,137.7,113.3,69.7,16.4,0.0,2.06,53,66.0,22.6,11.3,83.0,17.0,34.1
Poland,624,"10,453",7.6,26.9,67.8,119.6,72.7,17.5,1.3,1.57,613,51.1,23.1,25.9,76.9,23.1,34.6
Portugal,174,"3,403",14.5,31.1,99.0,126.0,60.5,12.5,1.2,1.72,170,56.7,20.1,23.2,76.8,23.2,33.0
Romania,264,"4,948",11.8,41.9,102.5,111.0,67.3,17.0,0.6,1.76,258,35.8,44.4,19.8,83.7,16.3,32.5
Russian Federation,611,"8,900",1.7,29.6,87.4,112.5,75.5,20.7,3.0,1.65,604,35.0,29.9,35.1,86.6,13.4,32.5
Spain,139,"3,811",0.0,15.8,21.5,74.0,90.6,26.5,1.0,1.15,139,44.9,26.5,28.7,72.1,27.9,36.0
Montenegro,25,354,15.9,127.0,133.3,109.2,73.4,28.7,0.0,2.44,24,58.3,8.3,29.2,87.5,12.5,30.5
Serbia,248,"6,658",3.9,48.1,78.8,101.4,57.2,12.4,0.2,1.51,243,36.9,27.8,35.3,84.2,15.8,31.9
Ukraine,281,"4,457",8.5,30.0,92.0,104.1,72.8,23.5,2.0,1.67,277,32.0,28.0,40.0,84.0,16.0,32.1
Other,462,"6,482",1.8,71.7,78.8,125.7,78.8,17.7,0.0,1.87,456,34.9,35.8,29.2,83.7,16.3,32.8
North Africa and the Middle East,"9,227","105,802",19.8,124.0,168.7,136.4,86.0,21.9,1.8,2.79,"9,085",15.2,67.2,17.6,88.4,11.6,30.4
Egypt,493,"6,651",4.3,70.2,163.0,133.7,53.3,12.2,0.8,2.19,486,10.6,74.2,15.2,96.3,3.7,30.8
Iran,"1,185","16,937",13.1,58.0,94.4,93.2,69.4,20.2,1.7,1.75,"1,169",7.5,74.0,18.4,93.2,6.8,33.0
Iraq,"1,936","21,735",18.1,120.9,154.5,135.0,88.3,22.9,2.2,2.71,"1,910",3.8,87.6,8.5,94.4,5.6,29.2
Israel,165,"2,721",1.3,16.5,91.7,179.4,110.3,28.7,4.9,2.16,163,39.1,40.4,20.5,90.7,9.3,34.3
Lebanon,"1,770","20,523",48.5,250.0,241.7,153.4,83.2,19.3,1.5,3.99,"1,735",40.9,51.9,7.2,91.8,8.2,29.7
Syria,308,"3,675",22.1,130.5,188.4,129.1,82.0,18.7,0.5,2.86,303,23.3,43.0,33.7,95.7,4.3,30.4
Turkey,454,"10,282",11.9,88.6,118.5,106.5,67.2,13.1,1.7,2.04,447,29.4,62.2,8.4,93.5,6.5,31.8
Other,"2,916","23,278",21.7,124.5,196.6,178.0,125.0,40.3,2.9,3.44,"2,872",6.4,63.7,30.0,77.0,23.0,29.8
South-East Asia,"16,658","327,471",5.1,31.3,84.4,108.3,66.1,15.7,1.0,1.56,"16,520",28.0,51.5,20.5,85.1,14.9,32.5
"Myanmar, The Republic of the Union of",805,"9,753",21.9,113.6,150.1,123.5,80.8,19.7,0.5,2.55,800,3.8,89.1,7.2,92.3,7.7,29.9
Cambodia,833,"11,837",10.6,86.5,131.3,122.4,67.8,13.7,2.7,2.17,826,19.7,57.7,22.6,82.2,17.8,31.3
Indonesia,"1,876","32,456",2.1,18.9,104.4,121.4,68.4,15.7,1.2,1.66,"1,856",26.3,51.0,22.6,94.1,5.9,32.7
Laos,161,"3,323",49.5,174.2,176.5,125.6,73.9,11.9,1.2,3.06,158,34.2,36.8,28.9,70.4,29.6,32.6
Malaysia,"2,058","48,802",0.9,5.6,47.2,104.3,73.2,14.5,0.9,1.23,"2,041",25.8,42.8,31.3,92.6,7.4,33.2
Philippines,"4,357","85,846",5.8,39.5,80.3,101.5,61.7,17.1,1.2,1.54,"4,316",35.4,49.3,15.3,82.8,17.2,32.5
Singapore,693,"21,817",0.1,3.2,33.3,93.9,66.9,14.5,0.4,1.06,688,32.4,24.6,43.0,92.2,7.8,34.0
Thailand,"1,502","34,126",10.2,31.5,60.0,80.8,52.5,15.0,0.6,1.25,"1,490",50.8,19.2,30.0,75.3,24.7,33.0
Vietnam,"4,247","75,759",5.6,48.1,123.5,128.1,69.7,15.4,0.8,1.96,"4,221",19.3,67.0,13.6,81.5,18.5,32.0
Other,126,"3,752",0.0,5.7,62.4,112.8,77.8,14.5,1.2,1.37,124,31.4,29.8,38.8,83.6,16.4,34.5
North-East Asia,"14,622","302,657",0.6,11.6,60.6,110.2,77.2,18.1,1.2,1.40,"14,486",16.4,64.7,18.8,91.4,8.6,32.4
China,"9,621","180,406",0.6,16.0,82.8,118.0,73.9,17.6,1.3,1.55,"9,536",9.5,76.9,13.6,91.8,8.2,31.6
Hong Kong,"1,018","28,083",1.0,5.5,32.9,88.4,68.1,17.1,1.1,1.07,"1,007",28.8,30.4,40.9,91.0,9.0,33.2
Japan,"1,269","27,494",0.1,2.4,35.3,109.2,113.3,27.5,1.7,1.45,"1,249",47.5,19.3,33.1,90.5,9.5,35.4
"Korea, Republic of (South)","1,892","40,429",0.1,3.7,43.6,123.5,73.2,13.5,0.8,1.29,"1,878",18.6,65.8,15.6,92.4,7.6,33.5
Other,822,"26,245",0.7,4.9,15.2,66.1,62.3,14.4,1.7,0.83,816,29.6,32.6,37.9,87.5,12.5,33.1
Southern and Central Asia,"22,064","244,112",5.0,72.1,135.4,122.6,57.4,12.3,1.1,2.03,"21,827",2.6,92.2,5.2,97.6,2.4,30.6
India,"13,264","144,464",2.2,63.5,141.8,118.3,50.2,9.1,0.8,1.93,"13,126",1.8,95.3,2.9,98.4,1.6,30.6
Pakistan,"2,156","16,551",11.1,155.3,200.9,145.7,71.2,19.4,2.0,3.03,"2,132",2.4,85.5,12.0,98.3,1.7,29.5
Sri Lanka,"2,002","31,610",1.9,27.3,102.6,138.4,69.1,14.0,0.9,1.77,"1,975",7.7,84.8,7.6,97.2,2.8,32.7
Other,"4,642","51,487",9.2,78.1,111.6,121.8,67.3,18.2,2.2,2.04,"4,594",2.8,89.9,7.3,95.2,4.8,29.8
Americas,"5,162","92,359",4.0,19.3,55.9,110.8,88.6,23.5,1.7,1.52,"5,093",52.7,23.4,23.9,80.7,19.3,33.5
Argentina,218,"4,181",0.0,23.9,42.6,99.4,94.9,23.1,1.8,1.43,215,41.5,28.8,29.7,75.1,24.9,34.6
Canada,"1,006","17,067",3.1,17.0,56.6,133.2,93.1,26.4,1.7,1.66,991,69.0,9.6,21.3,77.5,22.5,33.4
Caribbean,62,"1,378",0.0,23.4,76.9,93.8,72.4,12.5,4.6,1.42,62,50.0,10.3,39.7,87.9,12.1,33.3
Central America,387,"6,227",1.9,36.2,79.5,108.7,72.8,19.7,1.8,1.60,385,48.5,22.5,28.9,80.1,19.9,33.2
Chile,329,"7,163",9.2,40.4,60.0,89.7,76.0,15.2,1.6,1.46,324,42.4,25.7,31.8,68.6,31.4,33.3
United States of America,"1,559","28,973",3.9,20.2,61.1,120.5,91.8,23.2,1.7,1.61,"1,536",63.8,14.9,21.3,85.4,14.6,33.0
Uruguay,50,"1,728",8.8,47.6,63.6,112.7,82.9,17.4,1.5,1.67,49,51.1,12.8,36.2,72.3,27.7,34.4
Other,"1,551","25,642",3.9,14.1,44.7,97.8,90.1,28.7,2.8,1.41,"1,531",35.9,40.6,23.5,81.3,18.7,34.0
Sub-Saharan Africa,"6,564","105,953",11.2,52.8,116.6,142.0,79.9,18.3,1.9,2.11,"6,460",23.0,54.2,22.8,78.6,21.4,31.7
Kenya,297,"5,648",19.9,29.9,73.0,113.1,84.1,22.8,3.8,1.73,294,20.4,36.8,42.8,78.9,21.1,31.8
Mauritius,355,"6,432",5.4,24.1,73.5,109.9,59.7,18.8,1.0,1.46,351,24.1,57.6,18.3,88.0,12.0,32.5
South Africa,"2,312","53,528",3.5,27.3,86.4,132.8,68.9,12.2,0.7,1.66,"2,276",43.5,35.5,21.0,83.4,16.6,32.5
Zimbabwe,632,"12,454",3.1,24.1,96.1,125.0,73.2,17.1,0.6,1.70,623,24.3,53.7,22.0,82.6,17.4,32.5
Other,"2,968","27,891",25.9,117.6,185.7,179.4,110.6,33.0,6.1,3.29,"2,916",6.2,70.8,23.1,72.6,27.4,30.3
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
© Commonwealth of Australia 2016,,,,,,,,,,,,,,,,,